Gender,Provinsi,Kab/Kota,Bidang,Jenjang Lomba,Jenjang Sekolah,Kelas,Medali,Tahun,Cluster
L,Jawa Timur,Kota Surabaya,Biologi,SMA,SMA,11.0,Partisipan,2016,2
L,Aceh,Kota Banda Aceh,Ekonomi,SMA,SMA,11.0,Partisipan,2021,2
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2022,0
L,Aceh,Kota Banda Aceh,Fisika,SMA,SMA,11.0,Partisipan,2022,2
L,Aceh,Kota Banda Aceh,Kimia,SMA,SMA,11.0,Partisipan,2022,2
P,Aceh,Kota Banda Aceh,Astronomi,SMA,SMA,11.0,Partisipan,2023,2
L,Jawa Timur,Kota Surabaya,Geografi,SMA,SMA,11.0,Partisipan,2016,2
P,Aceh,Kota Banda Aceh,Kebumian,SMA,SMA,10.0,Partisipan,2023,2
P,Aceh,Kota Banda Aceh,Kebumian,SMA,SMA,11.0,Partisipan,2024,2
P,Aceh,Kota Banda Aceh,Kebumian,SMA,SMA,11.0,Partisipan,2024,2
L,Sulawesi Selatan,Kota Makassar,Matematika,SMA,SMA,11.0,Partisipan,2018,2
P,Aceh,Kota Subulussalam,Fisika,SMA,SMA,11.0,Partisipan,2024,2
L,Aceh,Kab. Aceh Timur,Geografi,SMA,SMA,11.0,Partisipan,2021,1
P,Aceh,Kab. Pidie Jaya,Matematika,SMP,SMP,11.0,Partisipan,2022,0
L,Papua Barat,Kab. Manokwari,Kimia,SMA,SMA,11.0,Partisipan,2020,0
L,Bali,Kab. Jembrana,Biologi,SMA,SMA,10.0,Partisipan,2021,1
L,Bali,Kab. Jembrana,Geografi,SMA,SMA,11.0,Partisipan,2021,1
L,Bali,Kab. Jembrana,Informatika,SMA,SMA,11.0,Partisipan,2020,1
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2022,0
L,Bali,Kab. Jembrana,Ekonomi,SMA,SMA,11.0,Partisipan,2017,1
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2022,0
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2009,0
L,Bali,Kab. Jembrana,Kimia,SMA,SMA,11.0,Partisipan,2014,1
L,Bali,Kab. Jembrana,Informatika,SMA,SMA,11.0,Partisipan,2020,1
P,Jawa Timur,Kab. Jombang,Geografi,SMA,SMA,11.0,Partisipan,2022,1
P,Bali,Kab. Karangasem,Biologi,SMA,SMA,10.0,Partisipan,2020,1
L,Bali,Kab. Karangasem,Geografi,SMA,SMA,11.0,Partisipan,2022,1
P,Bali,Kab. Buleleng,IPS,SMP,SMP,11.0,Partisipan,2023,1
P,Bali,Kab. Buleleng,IPA,SMP,SMP,11.0,Partisipan,2020,1
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2021,0
P,Bali,Kab. Buleleng,IPA,SMP,SMP,11.0,Partisipan,2023,1
P,Bali,Kab. Buleleng,IPA,SMP,SMP,11.0,Partisipan,2023,1
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,7.0,Partisipan,2020,0
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,8.0,Partisipan,2019,0
P,Bali,Kab. Jembrana,IPA,SMP,SMP,11.0,Partisipan,2022,1
